DataYear,BuildingType,PrimaryPropertyType,Latitude,Longitude,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,mean_GFA_per_floor,Number_of_Use_Types
2016,NonResidential,Large Office,47.61597,-122.33086,1.0,413715,64660,Office,24224888.0,168.88,36,18371.315789473683,2
2016,NonResidential,Mixed Use Property,47.6177,-122.3306,1.0,381381,195621,Parking,9765777.0,72.42,16,15480.0,3
2016,NonResidential,Large Office,47.61695,-122.32965,1.0,497513,118744,Office,26823218.0,197.19,28,18036.619047619046,2
2016,NonResidential,Large Office,47.61431,-122.34244,1.0,543876,116721,Office,25307744.0,176.43,37,17086.2,2
2016,NonResidential,Mixed Use Property,47.6177,-122.3545,1.0,109347,38700,Laboratory,8218155.5,91.13,36,14129.4,3
2016,NonResidential,Large Office,47.6182,-122.352,1.0,396626,124216,Office,20361158.0,141.95,34,38915.71428571428,2
2016,NonResidential,Large Office,47.61598,-122.34369,1.0,287471,83591,Office,14913424.0,103.97,14,29125.714285714286,4
2016,NonResidential,Large Office,47.61734,-122.34434,1.0,192630,48512,Office,5357833.0,46.03,69,36029.5,2
2016,NonResidential,Large Office,47.6176,-122.35686,1.0,253103,61986,Office,29949248.0,208.79,32,21235.222222222223,4
2016,NonResidential,Supermarket / Grocery Store,47.7019,-122.36374,1.0,60880,0,Supermarket/Grocery Store,14293972.0,384.27,60,30440.0,1
2016,NonResidential,Small- and Mid-Sized Office,47.60227,-122.33202,1.0,50176,0,Office,2933288.75,24.91,116,8362.666666666666,3
2016,NonResidential,Warehouse,47.54066,-122.33023,1.0,128800,0,Non-Refrigerated Warehouse,1809101.5,78.92,39,64400.0,2
2016,NonResidential,Large Office,47.60932,-122.33388,1.0,321945,0,Office,13656587.0,355.05,89,35771.666666666664,3
2016,NonResidential,Large Office,47.60896,-122.33481,1.0,635824,0,Office,48479988.0,337.97,40,14786.60465116279,5
2016,NonResidential,Retail Store,47.57936,-122.29744,1.0,291940,0,Retail Store,11688601.0,162.45,36,97313.33333333333,2
2016,NonResidential,Mixed Use Property,47.52871,-122.29443,0.0,88400,0,Non-Refrigerated Warehouse,4383100.5,116.03,46,44200.0,3
2016,NonResidential,Warehouse,47.72912,-122.34677,1.0,52311,0,Non-Refrigerated Warehouse,930611.875,48.65,56,26155.5,1
2016,NonResidential,Other,47.62323,-122.33028,1.0,141131,69710,Parking,3085814.0,21.51,7,11903.5,5
2016,NonResidential,Large Office,47.62333,-122.3296,1.0,176532,70067,Office,5803409.0,40.46,15,17744.166666666668,2
2016,NonResidential,Warehouse,47.65825,-122.3683,1.0,52500,0,Non-Refrigerated Warehouse,3989399.0,70.47,43,26250.0,2
2016,NonResidential,Warehouse,47.66587,-122.38476,1.0,57300,0,Non-Refrigerated Warehouse,4560492.0,156.67,57,19100.0,2
2016,NonResidential,Large Office,47.61429,-122.35263,1.0,350310,0,Office,18102026.0,224.36,100,50044.28571428572,3
2016,NonResidential,Large Office,47.61003,-122.33452,1.0,135918,0,Office,6423556.5,193.72,58,12356.181818181818,1
2016,NonResidential,Retail Store,47.61159,-122.33601,1.0,79957,0,Retail Store,5252131.0,36.61,102,15991.4,2
2016,NonResidential,Large Office,47.61125,-122.33494,1.0,500000,0,Office,18848780.0,131.4,33,16666.666666666668,3
2016,NonResidential,Large Office,47.61005,-122.3361,0.0,132326,0,Office,6029020.0,65.2,90,12029.636363636364,3
2016,NonResidential,Large Office,47.61033,-122.3357,1.0,109830,13200,Office,7335905.5,51.14,32,13804.285714285714,4
2016,NonResidential,Large Office,47.60991,-122.33687,1.0,130513,0,Office,11651200.0,318.08,106,11864.818181818182,3
2016,NonResidential,Small- and Mid-Sized Office,47.60953,-122.33647,1.0,60660,0,Office,2586116.0,18.03,96,6740.0,2
2016,NonResidential,Large Office,47.60902,-122.33674,1.0,137350,0,Office,6366084.5,202.99,87,9156.666666666666,1
2016,NonResidential,Large Office,47.60923,-122.33625,1.0,151039,0,Office,5446624.0,238.09,87,9439.9375,1
2016,NonResidential,Small- and Mid-Sized Office,47.60995,-122.33904,1.0,63540,0,Office,3518459.5,74.83,110,12708.0,1
2016,NonResidential,Large Office,47.60987,-122.33824,1.0,130893,0,Office,6962073.0,48.54,89,11899.363636363636,3
2016,NonResidential,Mixed Use Property,47.60821,-122.33899,1.0,79920,0,Office,3009463.75,20.98,106,13320.0,3
2016,Campus,Mixed Use Property,47.60881,-122.34119,1.0,137400,0,Retail Store,14940504.0,316.2,108,27480.0,9
2016,NonResidential,Other,47.61164,-122.33446,1.0,147852,86429,Parking,9671619.0,185.03,20,8774.714285714286,4
2016,NonResidential,Other,47.61185,-122.33421,0.0,267335,166960,Parking,7273155.5,147.75,20,20075.0,3
2016,NonResidential,Large Office,47.60967,-122.33229,1.0,794592,0,Office,26689658.0,216.43,36,21475.45945945946,3
2016,NonResidential,Large Office,47.60909,-122.33202,1.0,456304,93204,Office,19397324.0,135.23,45,16504.545454545456,2
2016,NonResidential,Large Office,47.61029,-122.34089,1.0,115857,15140,Office,4757299.5,33.17,30,7747.461538461538,3
2016,NonResidential,Small- and Mid-Sized Office,47.61116,-122.34748,1.0,87500,17500,Office,4549892.0,31.72,17,14000.0,2
2016,NonResidential,Large Office,47.6117,-122.34778,1.0,374405,184776,Office,13329024.0,92.92,18,15802.416666666666,2
2016,NonResidential,Other,47.61252,-122.34351,1.0,193500,38000,Other,14436982.0,100.65,31,11961.538461538461,1
2016,NonResidential,Large Office,47.61108,-122.34217,1.0,102846,0,Office,5327249.5,281.55,93,8570.5,2
2016,NonResidential,Small- and Mid-Sized Office,47.61304,-122.34059,1.0,52800,0,Office,2429021.0,44.48,91,10560.0,2
2016,Campus,Mixed Use Property,47.61229,-122.33903,3.0,258497,0,Parking,20779796.0,418.9,103,23499.727272727272,5
2016,NonResidential,Retail Store,47.61098,-122.33815,1.0,861702,0,Retail Store,17666646.0,328.83,87,95744.66666666667,2
2016,NonResidential,Other,47.61,-122.32922,1.0,206950,97400,Other,19295226.0,249.09,17,18258.333333333332,1
2016,NonResidential,Other,47.61048,-122.32837,1.0,46710,0,Urgent Care/Clinic/Other Outpatient,4169431.5,130.69,28,4671.0,1
2016,NonResidential,Medical Office,47.61048,-122.32837,1.0,266000,104000,Medical Office,13911761.0,201.15,71,40500.0,2
2016,NonResidential,Medical Office,47.60921,-122.32425,1.0,690158,407795,Medical Office,21156670.0,147.49,24,18824.2,2
2016,NonResidential,Mixed Use Property,47.61915,-122.34857,1.0,378443,177660,Parking,55073120.0,456.22,15,28683.285714285714,6
2016,NonResidential,Hotel,47.62036,-122.34588,1.0,109017,29409,Hotel,9474745.0,243.66,37,13268.0,1
